asset,family,value_kind,index,value
N1000,q_b,head_singular,34,0.2568428467582809
N1000,q_b,head_singular,35,0.25192743364237913
N1000,q_b,head_singular,36,0.2480227282703462
N1000,q_b,head_singular,37,0.23558714677864168
N1000,q_b,head_singular,38,0.2344593509395266
N1000,q_b,head_singular,39,0.23043954153337726
N1000,q_b,head_singular,40,0.22546184091257965
N1000,q_b,head_singular,41,0.22047049256013124
N1000,q_b,head_singular,42,0.21654045390346188
N1000,q_b,head_singular,43,0.2123617048382619
N1000,q_b,head_singular,44,0.20963020738665264
N1000,q_b,head_singular,45,0.2053411558801108
N1000,q_b,head_singular,46,0.2033345454867092
N1000,q_b,head_singular,47,0.20130655188173444
N1000,q_b,head_singular,48,0.19350887620748033
N1000,q_b,head_singular,49,0.1903005917287571
N1000,q_b,head_singular,50,0.1869437370323374
N1000,q_b,head_singular,51,0.1841228139678651
N1000,q_b,head_singular,52,0.1832653114991722
N1000,q_b,head_singular,53,0.17985398304936126
N1000,q_b,head_singular,54,0.17662948336740114
N1000,q_b,head_singular,55,0.17222485277666816
N1000,q_b,head_singular,56,0.16992570133738666
N1000,q_b,head_singular,57,0.16887779821131765
N1000,q_b,head_singular,58,0.16746303270425764
N1000,q_b,head_singular,59,0.16542605493281592
N1000,q_b,head_singular,60,0.16136524362729562
N1000,q_b,head_singular,61,0.1595802319964093
N1000,q_b,head_singular,62,0.15880089375776457
N1000,q_b,head_singular,63,0.1531432239904444
N1000,q_b,head_singular,64,0.1515519291950758
N1000,q_b,head_singular,65,0.14906149197800456
N1000,q_b,head_singular,66,0.14874181925890032
N1000,q_b,head_singular,67,0.147985701128868
N1000,q_b,head_singular,68,0.1450493270399913
N1000,q_b,head_singular,69,0.14242871762284978
N1000,q_b,head_singular,70,0.14175805304832267
N1000,q_b,head_singular,71,0.1383072264100573
N1000,q_b,head_singular,72,0.13718833023677862
N1000,q_b,head_singular,73,0.1367219431940003
N1000,q_b,head_singular,74,0.1354634984213133
N1000,q_b,head_singular,75,0.13216505152765373
N1000,q_b,head_singular,76,0.13150483928793513
N1000,q_b,head_singular,77,0.12967820529945137
N1000,q_b,head_singular,78,0.12808195804275416
N1000,q_b,head_singular,79,0.12708731373604107
N1000,q_b,head_singular,80,0.12670699067024796
N1000,q_b,head_singular,81,0.12457216361158155
N1000,q_b,head_singular,82,0.12155416897583227
N1000,q_b,head_singular,83,0.12129131234926745
N1000,q_b,head_singular,84,0.12067736918607111
N1000,q_b,head_singular,85,0.11970158505714118
N1000,q_b,head_singular,86,0.11850316403673246
N1000,q_b,head_singular,87,0.11687806296017217
N1000,q_b,head_singular,88,0.11587771389038001
N1000,q_b,head_singular,89,0.11446268999905192
N1000,q_b,head_singular,90,0.1132757650846634
N1000,q_b,head_singular,91,0.11164985599392525
N1000,q_b,head_singular,92,0.11134069924830263
N1000,q_b,head_singular,93,0.10975942217076541
N1000,q_b,head_singular,94,0.10915725495073673
N1000,q_b,head_singular,95,0.10729431426609588
N1000,q_b,head_singular,96,0.10583779169066475
N1000,q_b,head_singular,97,0.10401335372327464
